pickup_longitude,pickup_latitude,dropoff_latitude,dropoff_longitude,fare_amount,distance,edge
-75.4,41.1,41.1,-75.4,6.1,0.014249278051881602,1
-75.3,40.6,40.7,-75.4,12.9,0.04061712328756006,2
-75.3,40.6,40.7,-75.3,19.7,0.05860316342781079,3
-74.7,40.8,40.8,-74.7,6.5,0.009338823534041628,4
-74.5,40.5,40.5,-74.5,12.3,0.01621376461048899,5
-74.4,40.7,40.7,-74.4,7.7,0.006929261793295506,6
-74.3,40.7,40.7,-74.3,11.7,0.01910301165161072,7
-74.3,40.8,40.8,-74.3,4.9,0.004912342211198187,8
-74.2,40.6,40.6,-74.3,8.9,0.016379492360876727,9
-74.2,40.6,40.6,-74.2,7.5,0.006622837236178323,10
-74.2,40.6,40.6,-74.1,5.0,0.005878997278441246,11
-74.2,40.7,40.7,-74.2,5.7,0.006828275990322684,12
-74.2,40.8,40.8,-74.2,9.7,0.01023009567927833,13
-74.2,41.1,41.1,-74.1,7.7,0.009034035643065527,14
-74.1,40.4,40.4,-74.1,7.3,0.013059094953342579,15
-74.1,40.6,40.6,-74.1,6.633333333333333,0.01222688787185406,16
-74.1,40.7,40.7,-74.1,8.588888888888889,0.021512706038124982,17
-74.1,40.7,40.7,-74.0,9.833333333333334,0.04097492589263416,18
-74.1,40.7,40.8,-74.1,8.1,0.004621251886661002,19
-74.1,40.8,40.7,-74.1,7.3,0.027139994104639666,20
-74.1,40.8,40.8,-74.2,17.7,0.08714577218087452,21
-74.1,40.8,40.8,-74.1,7.166666666666667,0.008679320172912917,22
-74.1,40.8,40.8,-74.0,7.833333333333333,0.027077695526694617,23
-74.1,40.9,40.8,-74.1,7.7,0.026675008603560143,24
-74.1,40.9,40.9,-74.2,13.7,0.08230326784520069,25
-74.1,40.9,40.9,-74.1,19.3,0.022089786400463607,26
-74.1,41.0,41.0,-74.1,5.3,0.005315915725445255,27
-74.1,41.2,41.2,-74.2,7.7,0.05309085273378254,28
-74.0,39.6,39.6,-74.0,5.8,0.01744788153398233,29
-74.0,39.6,39.6,-73.9,7.7,0.02964425542941357,30
-74.0,40.5,40.5,-74.0,8.5,0.021259780494821374,31
-74.0,40.6,40.6,-74.0,10.865625,0.02115943483932896,32
-74.0,40.6,40.6,-73.9,11.175,0.03374893443417971,33
-74.0,40.6,40.7,-74.0,14.547916666666666,0.051713050921422504,34
-74.0,40.6,40.7,-73.9,14.5,0.0415924294673868,35
-74.0,40.7,40.6,-74.0,21.029694323144106,0.07982421224909018,36
-74.0,40.7,40.6,-73.9,19.523529411764706,0.07487580418504203,37
-74.0,40.7,40.7,-74.1,12.025,0.05047616725953448,38
-74.0,40.7,40.7,-74.0,8.561964486506747,0.021683184089139707,39
-74.0,40.7,40.7,-73.9,15.591106020942409,0.05856232116992058,40
-74.0,40.7,40.8,-74.1,18.5,0.09146773005272474,41
-74.0,40.7,40.8,-74.0,11.226589020886713,0.035000388990467826,42
-74.0,40.7,40.8,-73.9,17.994458088627873,0.07477539524082208,43
-74.0,40.7,40.9,-73.9,23.95,0.10929034628709183,44
-74.0,40.8,40.6,-74.0,26.374000000000002,0.10602714698888074,45
-74.0,40.8,40.7,-74.0,11.753343216896832,0.03582792964775983,46
-74.0,40.8,40.7,-73.9,18.398631415241056,0.07025273832237294,47
-74.0,40.8,40.8,-74.1,9.61111111111111,0.03115514598913924,48
-74.0,40.8,40.8,-74.0,8.00322479215519,0.0198529001711464,49
-74.0,40.8,40.8,-73.9,12.854023210831722,0.045742218618354556,50
-74.0,40.8,40.8,-73.8,27.7,0.10956745000226821,51
-74.0,40.8,40.9,-74.0,15.5,0.023439316232933223,52
-74.0,40.8,40.9,-73.9,19.73744186046512,0.089270619137328,53
-74.0,40.9,40.8,-74.0,12.3,0.10394885764186013,54
-74.0,40.9,40.9,-74.0,9.166666666666666,0.02234500274419531,55
-74.0,40.9,40.9,-73.9,25.7,0.029660378031979462,56
-74.0,41.0,41.0,-74.0,6.5,0.006305221486993672,57
-73.9,39.6,39.6,-73.9,7.7,0.01882983397626365,58
-73.9,39.7,39.6,-74.0,7.3,0.02841698931406881,59
-73.9,40.4,40.4,-73.9,5.95,0.02027944969875611,60
-73.9,40.4,40.4,-73.8,4.5,0.01973308490835235,61
-73.9,40.6,40.5,-73.8,16.1,0.08885326633276264,62
-73.9,40.6,40.6,-74.0,9.200000000000001,0.02343329519306231,63
-73.9,40.6,40.6,-73.9,8.74,0.018025662699087557,64
-73.9,40.6,40.6,-73.8,15.7,0.0141557266150434,65
-73.9,40.6,40.7,-74.0,20.1,0.10064845594940819,66
-73.9,40.6,40.7,-73.9,10.9,0.04049942444035952,67
-73.9,40.7,40.6,-74.0,23.1,0.07852099131382817,68
-73.9,40.7,40.6,-73.9,14.180000000000001,0.04367814498849924,69
-73.9,40.7,40.7,-74.0,13.473363914373088,0.04926561729184651,70
-73.9,40.7,40.7,-73.9,8.645859872611465,0.025017329324936874,71
-73.9,40.7,40.7,-73.8,14.518518518518519,0.05817158431492437,72
-73.9,40.7,40.8,-74.0,15.108453038674034,0.05681650269432864,73
-73.9,40.7,40.8,-73.9,11.362884615384615,0.03561104070668686,74
-73.9,40.7,40.8,-73.8,19.5,0.07481532276212435,75
-73.9,40.8,40.7,-74.0,17.595034965034966,0.07083591075749877,76
-73.9,40.8,40.7,-73.9,15.652027027027026,0.05345945719690827,77
-73.9,40.8,40.7,-73.8,17.953125,0.07393823744839809,78
-73.9,40.8,40.8,-74.0,12.059218472468917,0.039881544968222396,79
-73.9,40.8,40.8,-73.9,11.3021215959468,0.03269733336975454,80
-73.9,40.8,40.8,-73.8,16.853928571428572,0.056922885692041125,81
-73.9,40.8,40.9,-74.0,18.9,0.07852346090818191,82
-73.9,40.8,40.9,-73.9,18.02212765957447,0.07048271680631094,83
-73.9,40.9,40.8,-74.0,19.1,0.08162604804176599,84
-73.9,40.9,40.8,-73.9,12.518181818181818,0.03904977235363231,85
-73.9,40.9,40.8,-73.8,17.3,0.08658520753569378,86
-73.9,40.9,40.9,-73.9,8.02608695652174,0.016355777929017826,87
-73.9,41.0,41.0,-73.9,9.7,0.009290860547976223,88
-73.8,40.1,40.1,-73.8,8.0,0.006366688385657283,89
-73.8,40.3,40.3,-73.8,8.9,0.007715604253726454,90
-73.8,40.6,40.6,-73.9,23.4875,0.10247127670390059,91
-73.8,40.6,40.6,-73.8,11.922727272727274,0.018943992169661604,92
-73.8,40.6,40.6,-73.7,21.814285714285713,0.05420266297201092,93
-73.8,40.6,40.7,-73.9,21.490243902439026,0.09635533948835351,94
-73.8,40.6,40.7,-73.8,16.714423076923076,0.0570682319174093,95
-73.8,40.6,40.7,-73.7,20.915384615384614,0.07017672405755039,96
-73.8,40.6,40.8,-73.8,30.1,0.10568912839549521,97
-73.8,40.7,40.6,-73.8,17.685714285714287,0.051377294257182994,98
-73.8,40.7,40.7,-73.9,8.292857142857143,0.028923311212379486,99
-73.8,40.7,40.7,-73.8,9.00721649484536,0.023758855255144314,100
-73.8,40.7,40.7,-73.7,10.55,0.043565011719092724,101
-73.8,40.7,40.8,-73.9,15.116666666666667,0.06628201244126054,102
-73.8,40.7,40.8,-73.8,16.96,0.0563591381155783,103
-73.8,40.7,40.8,-73.7,18.9,0.10836011186780042,104
-73.8,40.8,40.7,-73.9,13.833333333333334,0.06705671825938829,105
-73.8,40.8,40.7,-73.8,13.733333333333334,0.04198415447621867,106
-73.8,40.8,40.8,-73.9,11.5,0.0372891730335247,107
